E ; deltaE ; I ; deltaI ; I ENDF ; deltaI ENDF
382.3375 eV ; 15.93775 eV ; 45.97978 % ; 1.631414 % ; 0.4597978 ; 0.01631414
601.0523 eV ; 26.31743 eV ; 15.23617 % ; 1.10741 % ; 0.1523617 ; 0.01107410
919.9999 eV ; 2.088061 eV ; 84 % ; 16.8 % ; 0.8400000 ; 0.1680000
1597.600 eV ; 2.000000 eV ; 16 % ; 3.2 % ; 0.1600000 ; 0.03200000
1732.871 eV ; 54.45104 eV ; 84.70333 % ; 2.607939 % ; 0.8470333 ; 0.02607939
7287.417 eV ; 346.3167 eV ; 17.47342 % ; 0.840641 % ; 0.1747342 ; 0.008406410
9337.999 eV ; 8.050466 eV ; 69 % ; 13.8 % ; 0.6900000 ; 0.1380000
9338.264 eV ; 283.8314 eV ; 7.351981 % ; 0.2302459 % ; 0.07351981 ; 0.002302459
11425.97 eV ; 367.8288 eV ; 0.7555301 % ; 0.02520926 % ; 0.007555301 ; 0.0002520926
11912.00 eV ; 8.022469 eV ; 17.1 % ; 3.42 % ; 0.1710000 ; 0.03420000
12589.60 eV ; 8.000000 eV ; 3.05 % ; 0.61 % ; 0.03050000 ; 0.006100000
52859.25 eV ; 3742.642 eV ; 0.3769084 % ; 0.02661729 % ; 0.003769084 ; 0.0002661729
57105.20 eV ; 30.00817 eV ; 15.5 % ; 3.1 % ; 0.1550000 ; 0.03100000
63348.16 eV ; 2537.688 eV ; 0.2052972 % ; 0.008270534 % ; 0.002052972 ; 0.00008270534
73850.64 eV ; 2916.786 eV ; 0.0269085 % ; 0.00107259 % ; 0.0002690850 ; 0.00001072590
121620.1 eV ; 30.00267 eV ; 60.00001 % ; 12 % ; 0.6000001 ; 0.1200000
132204.0 eV ; 30.01350 eV ; 18.8 % ; 3.76 % ; 0.1880000 ; 0.03760000
134778.0 eV ; 30.00600 eV ; 4.8 % ; 0.96 % ; 0.04800000 ; 0.009600000
135455.6 eV ; 30.00000 eV ; 0.765 % ; 0.153 % ; 0.007650000 ; 0.001530000
