E ; deltaE ; I ; deltaI ; I ENDF ; deltaI ENDF
212383.7 eV ; 200.0006 eV ; 9.76752E-9 % ; 4.65401E-9 % ; 9.76752E-11 ; 4.65401E-11
212761.5 eV ; 200.0000 eV ; 1.37985E-9 % ; 6.57392E-10 % ; 1.37985E-11 ; 6.57392E-12
232692.5 eV ; 9.013878 eV ; 0.001533672 % ; 9.578232E-5 % ; 0.00001533672 ; 9.578232E-7
238612.5 eV ; 7.017835 eV ; 0.004651199 % ; 0.001775991 % ; 0.00004651199 ; 0.00001775991
265871.5 eV ; 30.00417 eV ; 2.660364E-4 % ; 2.396115E-5 % ; 0.000002660364 ; 2.396115E-7
277435.2 eV ; 9.013878 eV ; 2.22054E-4 % ; 1.382916E-5 % ; 0.000002220540 ; 1.382916E-7
283355.2 eV ; 7.017835 eV ; 8.25588E-4 % ; 6.886792E-5 % ; 0.000008255880 ; 6.886792E-7
284434.2 eV ; 9.008884 eV ; 4.869479E-5 % ; 3.038426E-6 % ; 4.869479E-7 ; 3.038426E-8
286064.7 eV ; 9.013878 eV ; 1.126692E-5 % ; 7.011613E-7 % ; 1.126692E-7 ; 7.011613E-9
286442.5 eV ; 9.000000 eV ; 1.650768E-6 % ; 1.030203E-7 % ; 1.650768E-8 ; 1.030203E-9
287611.5 eV ; 50.00250 eV ; 1.165248E-4 % ; 1.188886E-5 % ; 0.000001165248 ; 1.188886E-7
289841.5 eV ; 70.00179 eV ; 8.804639E-4 % ; 8.162486E-5 % ; 0.000008804639 ; 8.162486E-7
290354.2 eV ; 7.011420 eV ; 1.86048E-4 % ; 1.382847E-5 % ; 0.000001860480 ; 1.382847E-7
291984.7 eV ; 7.017835 eV ; 4.267476E-5 % ; 3.224536E-6 % ; 4.267476E-7 ; 3.224536E-8
292362.5 eV ; 7.000000 eV ; 5.930279E-6 % ; 6.3108E-7 % ; 5.930279E-8 ; 6.310800E-9
310614.2 eV ; 30.00417 eV ; 3.826958E-5 % ; 3.445411E-6 % ; 3.826958E-7 ; 3.445411E-8
317613.2 eV ; 30.00267 eV ; 8.394192E-6 % ; 7.572422E-7 % ; 8.394192E-8 ; 7.572422E-9
319243.7 eV ; 30.00417 eV ; 1.939917E-6 % ; 1.748614E-7 % ; 1.939917E-8 ; 1.748614E-9
319621.5 eV ; 30.00000 eV ; 2.845433E-7 % ; 2.55838E-8 % ; 2.845433E-9 ; 2.55838E-10
323021.5 eV ; 170.0007 eV ; 2.3868E-5 % ; 8.97086E-6 % ; 2.386800E-7 ; 8.970860E-8
332354.2 eV ; 50.00250 eV ; 2.746655E-5 % ; 2.798529E-6 % ; 2.746655E-7 ; 2.798529E-8
334584.2 eV ; 70.00179 eV ; 1.263678E-4 % ; 1.16751E-5 % ; 0.000001263678 ; 1.167510E-7
339353.2 eV ; 50.00160 eV ; 6.27708E-6 % ; 6.420783E-7 % ; 6.277080E-8 ; 6.420783E-9
340983.7 eV ; 50.00250 eV ; 1.432284E-6 % ; 1.46061E-7 % ; 1.432284E-8 ; 1.460610E-9
