E ; deltaE ; I ; deltaI ; I ENDF ; deltaI ENDF
610488.9 eV ; 500.0002 eV ; 7.0626E-6 % ; 2.877347E-6 % ; 7.062600E-8 ; 2.877347E-8
610641.5 eV ; 60.00075 eV ; 0.00716135 % ; 8.315823E-4 % ; 0.00007161350 ; 0.000008315823
615526.3 eV ; 400.0006 eV ; 7.821E-6 % ; 4.530314E-6 % ; 7.821000E-8 ; 4.530314E-8
618009.9 eV ; 400.0002 eV ; 1.9987E-6 % ; 1.017145E-6 % ; 1.998700E-8 ; 1.017145E-8
618656.8 eV ; 400.0000 eV ; 3.3891E-7 % ; 1.81223E-7 % ; 3.389100E-9 ; 1.812230E-9
619761.5 eV ; 100.0005 eV ; 7.98532E-5 % ; 1.58469E-5 % ; 7.985320E-7 ; 1.584690E-7
620886.3 eV ; 60.00408 eV ; 0.001651495 % ; 1.894809E-4 % ; 0.00001651495 ; 0.000001894809
623369.9 eV ; 60.00133 eV ; 4.048355E-4 % ; 4.740996E-5 % ; 0.000004048355 ; 4.740996E-7
624016.8 eV ; 60.00000 eV ; 7.16135E-5 % ; 9.400891E-6 % ; 7.161350E-7 ; 9.400891E-8
630006.3 eV ; 100.0024 eV ; 1.853735E-5 % ; 3.27243E-6 % ; 1.853735E-7 ; 3.272430E-8
632489.9 eV ; 100.0008 eV ; 4.534521E-6 % ; 7.890421E-7 % ; 4.534521E-8 ; 7.890421E-9
633136.8 eV ; 100.0000 eV ; 7.70013E-7 % ; 1.574076E-7 % ; 7.700130E-9 ; 1.574076E-9
645331.5 eV ; 150.0003 eV ; 8.68842E-6 % ; 9.472634E-7 % ; 8.688420E-8 ; 9.472634E-9
655576.3 eV ; 150.0016 eV ; 1.979543E-6 % ; 2.157763E-7 % ; 1.979543E-8 ; 2.157763E-9
658059.9 eV ; 150.0005 eV ; 4.83717E-7 % ; 5.28537E-8 % ; 4.837170E-9 ; 5.28537E-10
658706.8 eV ; 150.0000 eV ; 8.48815E-8 % ; 9.25803E-9 % ; 8.48815E-10 ; 9.25803E-11
666581.5 eV ; 200.0002 eV ; 2.40002E-5 % ; 9.668123E-6 % ; 2.400020E-7 ; 9.668123E-8
671889.0 eV ; 200.0006 eV ; 4.977E-5 % ; 2.555628E-5 % ; 4.977000E-7 ; 2.555628E-7
673181.4 eV ; 500.0001 eV ; 1.4852E-6 % ; 6.051583E-7 % ; 1.485200E-8 ; 6.051583E-9
676826.3 eV ; 200.0012 eV ; 5.4194E-6 % ; 2.399917E-6 % ; 5.419400E-8 ; 2.399917E-8
679309.9 eV ; 200.0004 eV ; 1.39356E-6 % ; 5.637752E-7 % ; 1.393560E-8 ; 5.637752E-9
679956.8 eV ; 200.0000 eV ; 2.40002E-7 % ; 9.66812E-8 % ; 2.400020E-9 ; 9.66812E-10
683426.2 eV ; 500.0005 eV ; 3.5155E-7 % ; 1.432392E-7 % ; 3.515500E-9 ; 1.432392E-9
685909.9 eV ; 500.0002 eV ; 8.5952E-8 % ; 3.50179E-8 % ; 8.59520E-10 ; 3.50179E-10
686488.9 eV ; 150.0008 eV ; 1.78066E-4 % ; 9.102703E-5 % ; 0.000001780660 ; 9.102703E-7
686556.7 eV ; 500.0000 eV ; 1.4615E-8 % ; 5.95516E-9 % ; 1.46150E-10 ; 5.95516E-11
734581.5 eV ; 200.0002 eV ; 8.532E-6 % ; 3.351399E-6 % ; 8.532000E-8 ; 3.351399E-8
744826.3 eV ; 200.0012 eV ; 1.9908E-6 % ; 7.819931E-7 % ; 1.990800E-8 ; 7.819931E-9
747309.9 eV ; 200.0004 eV ; 4.977E-7 % ; 1.870323E-7 % ; 4.977000E-9 ; 1.870323E-9
747956.8 eV ; 200.0000 eV ; 8.532E-8 % ; 3.6923E-8 % ; 8.53200E-10 ; 3.69230E-10
749181.4 eV ; 150.0003 eV ; 2.92537E-5 % ; 1.186283E-5 % ; 2.925370E-7 ; 1.186283E-7
759426.2 eV ; 150.0016 eV ; 6.74107E-6 % ; 2.643007E-6 % ; 6.741070E-8 ; 2.643007E-8
761909.9 eV ; 150.0005 eV ; 1.65347E-6 % ; 6.598415E-7 % ; 1.653470E-8 ; 6.598415E-9
762556.7 eV ; 150.0000 eV ; 2.92537E-7 % ; 1.186283E-7 % ; 2.925370E-9 ; 1.186283E-9
